"","ref","tooth","tribe","species"
"407","DSCN2753","UM1","Alcelaphini","Connochaetes taurinus"
"408","DSCN2757","UM1","Alcelaphini","Connochaetes taurinus"
"409","DSCN2761","UM1","Alcelaphini","Connochaetes taurinus"
"410","DSCN4182","UM1","Alcelaphini","Connochaetes taurinus"
"411","DSCN4185","UM1","Alcelaphini","Connochaetes taurinus"
"412","DSCN4568","UM1","Alcelaphini","Connochaetes taurinus"
"413","DSCN4571","UM1","Alcelaphini","Connochaetes taurinus"
"414","DSCN4576","UM1","Alcelaphini","Connochaetes taurinus"
"415","DSCN4579","UM1","Alcelaphini","Connochaetes taurinus"
"416","DSCN4582","UM1","Alcelaphini","Connochaetes taurinus"
"417","DSCN4587","UM1","Alcelaphini","Connochaetes taurinus"
"418","DSCN4591","UM1","Alcelaphini","Connochaetes taurinus"
"419","DSCN4599","UM1","Alcelaphini","Connochaetes taurinus"
"420","DSCN4606","UM1","Alcelaphini","Connochaetes taurinus"
"421","DSCN4609","UM1","Alcelaphini","Connochaetes taurinus"
"422","DSCN4612","UM1","Alcelaphini","Connochaetes taurinus"
"423","DSCN4616","UM1","Alcelaphini","Connochaetes taurinus"
"424","DSCN4620","UM1","Alcelaphini","Connochaetes taurinus"
"425","DSCN4624","UM1","Alcelaphini","Connochaetes taurinus"
"426","DSCN2705","UM2","Alcelaphini","Connochaetes taurinus"
"427","DSCN2709","UM2","Alcelaphini","Connochaetes taurinus"
"428","DSCN2713","UM2","Alcelaphini","Connochaetes taurinus"
"429","DSCN2718","UM2","Alcelaphini","Connochaetes taurinus"
"430","DSCN2722","UM2","Alcelaphini","Connochaetes taurinus"
"431","DSCN2726","UM2","Alcelaphini","Connochaetes taurinus"
"432","DSCN2730","UM2","Alcelaphini","Connochaetes taurinus"
"433","DSCN2734","UM2","Alcelaphini","Connochaetes taurinus"
"434","DSCN2737","UM2","Alcelaphini","Connochaetes taurinus"
"435","DSCN2748","UM2","Alcelaphini","Connochaetes taurinus"
"436","DSCN2752","UM2","Alcelaphini","Connochaetes taurinus"
"437","DSCN2756","UM2","Alcelaphini","Connochaetes taurinus"
"438","DSCN2760","UM2","Alcelaphini","Connochaetes taurinus"
"439","DSCN3234","UM2","Alcelaphini","Connochaetes taurinus"
"440","DSCN4181","UM2","Alcelaphini","Connochaetes taurinus"
"441","DSCN4184","UM2","Alcelaphini","Connochaetes taurinus"
"442","DSCN4567","UM2","Alcelaphini","Connochaetes taurinus"
"443","DSCN4570","UM2","Alcelaphini","Connochaetes taurinus"
"444","DSCN4575","UM2","Alcelaphini","Connochaetes taurinus"
"445","DSCN4578","UM2","Alcelaphini","Connochaetes taurinus"
"446","DSCN4581","UM2","Alcelaphini","Connochaetes taurinus"
"447","DSCN4586","UM2","Alcelaphini","Connochaetes taurinus"
"448","DSCN4590","UM2","Alcelaphini","Connochaetes taurinus"
"449","DSCN4594","UM2","Alcelaphini","Connochaetes taurinus"
"450","DSCN4598","UM2","Alcelaphini","Connochaetes taurinus"
"451","DSCN4601","UM2","Alcelaphini","Connochaetes taurinus"
"452","DSCN4605","UM2","Alcelaphini","Connochaetes taurinus"
"453","DSCN4608","UM2","Alcelaphini","Connochaetes taurinus"
"454","DSCN4611","UM2","Alcelaphini","Connochaetes taurinus"
"455","DSCN4615","UM2","Alcelaphini","Connochaetes taurinus"
"456","DSCN4623","UM2","Alcelaphini","Connochaetes taurinus"
"457","DSCN2725","UM3","Alcelaphini","Connochaetes taurinus"
"458","DSCN2729","UM3","Alcelaphini","Connochaetes taurinus"
"459","DSCN2733","UM3","Alcelaphini","Connochaetes taurinus"
"460","DSCN2736","UM3","Alcelaphini","Connochaetes taurinus"
"461","DSCN2747","UM3","Alcelaphini","Connochaetes taurinus"
"462","DSCN2751","UM3","Alcelaphini","Connochaetes taurinus"
"463","DSCN2755","UM3","Alcelaphini","Connochaetes taurinus"
"464","DSCN2759","UM3","Alcelaphini","Connochaetes taurinus"
"465","DSCN3233","UM3","Alcelaphini","Connochaetes taurinus"
"466","DSCN4180","UM3","Alcelaphini","Connochaetes taurinus"
"467","DSCN4183","UM3","Alcelaphini","Connochaetes taurinus"
"468","DSCN4569","UM3","Alcelaphini","Connochaetes taurinus"
"469","DSCN4574","UM3","Alcelaphini","Connochaetes taurinus"
"470","DSCN4577","UM3","Alcelaphini","Connochaetes taurinus"
"471","DSCN4580","UM3","Alcelaphini","Connochaetes taurinus"
"472","DSCN4585","UM3","Alcelaphini","Connochaetes taurinus"
"473","DSCN4589","UM3","Alcelaphini","Connochaetes taurinus"
"474","DSCN4593","UM3","Alcelaphini","Connochaetes taurinus"
"475","DSCN4597","UM3","Alcelaphini","Connochaetes taurinus"
"476","DSCN4600","UM3","Alcelaphini","Connochaetes taurinus"
"477","DSCN4604","UM3","Alcelaphini","Connochaetes taurinus"
"478","DSCN4607","UM3","Alcelaphini","Connochaetes taurinus"
"479","DSCN4614","UM3","Alcelaphini","Connochaetes taurinus"
"480","DSCN4618","UM3","Alcelaphini","Connochaetes taurinus"
"481","DSCN4622","UM3","Alcelaphini","Connochaetes taurinus"
"482","DSCN3019","LM1","Alcelaphini","Damaliscus dorcas"
"483","DSCN3023","LM1","Alcelaphini","Damaliscus dorcas"
"484","DSCN3027","LM1","Alcelaphini","Damaliscus dorcas"
"485","DSCN3031","LM1","Alcelaphini","Damaliscus dorcas"
"486","DSCN3035","LM1","Alcelaphini","Damaliscus dorcas"
"487","DSCN3039","LM1","Alcelaphini","Damaliscus dorcas"
"488","DSCN3043","LM1","Alcelaphini","Damaliscus dorcas"
"489","DSCN3047","LM1","Alcelaphini","Damaliscus dorcas"
"490","DSCN3051","LM1","Alcelaphini","Damaliscus dorcas"
"491","DSCN3055","LM1","Alcelaphini","Damaliscus dorcas"
"492","DSCN3060","LM1","Alcelaphini","Damaliscus dorcas"
"493","DSCN3064","LM1","Alcelaphini","Damaliscus dorcas"
"494","DSCN3077","LM1","Alcelaphini","Damaliscus dorcas"
"495","DSCN3080","LM1","Alcelaphini","Damaliscus dorcas"
"496","DSCN3083","LM1","Alcelaphini","Damaliscus dorcas"
"497","DSCN3087","LM1","Alcelaphini","Damaliscus dorcas"
"498","DSCN3099","LM1","Alcelaphini","Damaliscus dorcas"
"499","DSCN3104","LM1","Alcelaphini","Damaliscus dorcas"
"500","DSCN3108","LM1","Alcelaphini","Damaliscus dorcas"
"501","DSCN3112","LM1","Alcelaphini","Damaliscus dorcas"
"502","DSCN4095","LM1","Alcelaphini","Damaliscus dorcas"
"503","DSCN4099","LM1","Alcelaphini","Damaliscus dorcas"
"504","DSCN4103","LM1","Alcelaphini","Damaliscus dorcas"
"505","DSCN4107","LM1","Alcelaphini","Damaliscus dorcas"
"506","DSCN4111","LM1","Alcelaphini","Damaliscus dorcas"
"507","DSCN4115","LM1","Alcelaphini","Damaliscus dorcas"
"508","DSCN4119","LM1","Alcelaphini","Damaliscus dorcas"
"509","DSCN4123","LM1","Alcelaphini","Damaliscus dorcas"
"510","DSCN4127","LM1","Alcelaphini","Damaliscus dorcas"
"511","DSCN4131","LM1","Alcelaphini","Damaliscus dorcas"
"512","DSCN3018","LM2","Alcelaphini","Damaliscus dorcas"
"513","DSCN3022","LM2","Alcelaphini","Damaliscus dorcas"
"514","DSCN3026","LM2","Alcelaphini","Damaliscus dorcas"
"515","DSCN3030","LM2","Alcelaphini","Damaliscus dorcas"
"516","DSCN3034","LM2","Alcelaphini","Damaliscus dorcas"
"517","DSCN3038","LM2","Alcelaphini","Damaliscus dorcas"
"518","DSCN3042","LM2","Alcelaphini","Damaliscus dorcas"
"519","DSCN3046","LM2","Alcelaphini","Damaliscus dorcas"
"520","DSCN3050","LM2","Alcelaphini","Damaliscus dorcas"
"521","DSCN3054","LM2","Alcelaphini","Damaliscus dorcas"
"522","DSCN3059","LM2","Alcelaphini","Damaliscus dorcas"
"523","DSCN3063","LM2","Alcelaphini","Damaliscus dorcas"
"524","DSCN3076","LM2","Alcelaphini","Damaliscus dorcas"
"525","DSCN3079","LM2","Alcelaphini","Damaliscus dorcas"
"526","DSCN3082","LM2","Alcelaphini","Damaliscus dorcas"
"527","DSCN3086","LM2","Alcelaphini","Damaliscus dorcas"
"528","DSCN3098","LM2","Alcelaphini","Damaliscus dorcas"
"529","DSCN3103","LM2","Alcelaphini","Damaliscus dorcas"
"530","DSCN3107","LM2","Alcelaphini","Damaliscus dorcas"
"531","DSCN3111","LM2","Alcelaphini","Damaliscus dorcas"
"532","DSCN4093","LM2","Alcelaphini","Damaliscus dorcas"
"533","DSCN4098","LM2","Alcelaphini","Damaliscus dorcas"
"534","DSCN4102","LM2","Alcelaphini","Damaliscus dorcas"
"535","DSCN4106","LM2","Alcelaphini","Damaliscus dorcas"
"536","DSCN4110","LM2","Alcelaphini","Damaliscus dorcas"
"537","DSCN4114","LM2","Alcelaphini","Damaliscus dorcas"
"538","DSCN4118","LM2","Alcelaphini","Damaliscus dorcas"
"539","DSCN4122","LM2","Alcelaphini","Damaliscus dorcas"
"540","DSCN4126","LM2","Alcelaphini","Damaliscus dorcas"
"541","DSCN4130","LM2","Alcelaphini","Damaliscus dorcas"
"542","DSCN3017","LM3","Alcelaphini","Damaliscus dorcas"
"543","DSCN3021","LM3","Alcelaphini","Damaliscus dorcas"
"544","DSCN3025","LM3","Alcelaphini","Damaliscus dorcas"
"545","DSCN3029","LM3","Alcelaphini","Damaliscus dorcas"
"546","DSCN3033","LM3","Alcelaphini","Damaliscus dorcas"
"547","DSCN3037","LM3","Alcelaphini","Damaliscus dorcas"
"548","DSCN3041","LM3","Alcelaphini","Damaliscus dorcas"
"549","DSCN3045","LM3","Alcelaphini","Damaliscus dorcas"
"550","DSCN3049","LM3","Alcelaphini","Damaliscus dorcas"
"551","DSCN3053","LM3","Alcelaphini","Damaliscus dorcas"
"552","DSCN3057","LM3","Alcelaphini","Damaliscus dorcas"
"553","DSCN3062","LM3","Alcelaphini","Damaliscus dorcas"
"554","DSCN3075","LM3","Alcelaphini","Damaliscus dorcas"
"555","DSCN3078","LM3","Alcelaphini","Damaliscus dorcas"
"556","DSCN3081","LM3","Alcelaphini","Damaliscus dorcas"
"557","DSCN3084","LM3","Alcelaphini","Damaliscus dorcas"
"558","DSCN3097","LM3","Alcelaphini","Damaliscus dorcas"
"559","DSCN3102","LM3","Alcelaphini","Damaliscus dorcas"
"560","DSCN3106","LM3","Alcelaphini","Damaliscus dorcas"
"561","DSCN3110","LM3","Alcelaphini","Damaliscus dorcas"
"562","DSCN4092","LM3","Alcelaphini","Damaliscus dorcas"
"563","DSCN4097","LM3","Alcelaphini","Damaliscus dorcas"
"564","DSCN4101","LM3","Alcelaphini","Damaliscus dorcas"
"565","DSCN4105","LM3","Alcelaphini","Damaliscus dorcas"
"566","DSCN4109","LM3","Alcelaphini","Damaliscus dorcas"
"567","DSCN4113","LM3","Alcelaphini","Damaliscus dorcas"
"568","DSCN4117","LM3","Alcelaphini","Damaliscus dorcas"
"569","DSCN4121","LM3","Alcelaphini","Damaliscus dorcas"
"570","DSCN4125","LM3","Alcelaphini","Damaliscus dorcas"
"571","DSCN4129","LM3","Alcelaphini","Damaliscus dorcas"
"572","DSCN4133","LM3","Alcelaphini","Damaliscus dorcas"
"573","DSCN2939","UM1","Alcelaphini","Damaliscus dorcas"
"574","DSCN2943","UM1","Alcelaphini","Damaliscus dorcas"
"575","DSCN2947","UM1","Alcelaphini","Damaliscus dorcas"
"576","DSCN2951","UM1","Alcelaphini","Damaliscus dorcas"
"577","DSCN2955","UM1","Alcelaphini","Damaliscus dorcas"
"578","DSCN2960","UM1","Alcelaphini","Damaliscus dorcas"
"579","DSCN2964","UM1","Alcelaphini","Damaliscus dorcas"
"580","DSCN2968","UM1","Alcelaphini","Damaliscus dorcas"
"581","DSCN2972","UM1","Alcelaphini","Damaliscus dorcas"
"582","DSCN2976","UM1","Alcelaphini","Damaliscus dorcas"
"583","DSCN2979","UM1","Alcelaphini","Damaliscus dorcas"
"584","DSCN2983","UM1","Alcelaphini","Damaliscus dorcas"
"585","DSCN2987","UM1","Alcelaphini","Damaliscus dorcas"
"586","DSCN2991","UM1","Alcelaphini","Damaliscus dorcas"
"587","DSCN2997","UM1","Alcelaphini","Damaliscus dorcas"
"588","DSCN3001","UM1","Alcelaphini","Damaliscus dorcas"
"589","DSCN3005","UM1","Alcelaphini","Damaliscus dorcas"
"590","DSCN3009","UM1","Alcelaphini","Damaliscus dorcas"
"591","DSCN3015","UM1","Alcelaphini","Damaliscus dorcas"
"592","DSCN4054","UM1","Alcelaphini","Damaliscus dorcas"
"593","DSCN4058","UM1","Alcelaphini","Damaliscus dorcas"
"594","DSCN4062","UM1","Alcelaphini","Damaliscus dorcas"
"595","DSCN4066","UM1","Alcelaphini","Damaliscus dorcas"
"596","DSCN4070","UM1","Alcelaphini","Damaliscus dorcas"
"597","DSCN4074","UM1","Alcelaphini","Damaliscus dorcas"
"598","DSCN4078","UM1","Alcelaphini","Damaliscus dorcas"
"599","DSCN4082","UM1","Alcelaphini","Damaliscus dorcas"
"600","DSCN4086","UM1","Alcelaphini","Damaliscus dorcas"
"601","DSCN4090","UM1","Alcelaphini","Damaliscus dorcas"
"602","DSCN2938","UM2","Alcelaphini","Damaliscus dorcas"
"603","DSCN2942","UM2","Alcelaphini","Damaliscus dorcas"
"604","DSCN2946","UM2","Alcelaphini","Damaliscus dorcas"
"605","DSCN2950","UM2","Alcelaphini","Damaliscus dorcas"
"606","DSCN2954","UM2","Alcelaphini","Damaliscus dorcas"
"607","DSCN2959","UM2","Alcelaphini","Damaliscus dorcas"
"608","DSCN2963","UM2","Alcelaphini","Damaliscus dorcas"
"609","DSCN2967","UM2","Alcelaphini","Damaliscus dorcas"
"610","DSCN2971","UM2","Alcelaphini","Damaliscus dorcas"
"611","DSCN2975","UM2","Alcelaphini","Damaliscus dorcas"
"612","DSCN2978","UM2","Alcelaphini","Damaliscus dorcas"
"613","DSCN2982","UM2","Alcelaphini","Damaliscus dorcas"
"614","DSCN2986","UM2","Alcelaphini","Damaliscus dorcas"
"615","DSCN2990","UM2","Alcelaphini","Damaliscus dorcas"
"616","DSCN2996","UM2","Alcelaphini","Damaliscus dorcas"
"617","DSCN3000","UM2","Alcelaphini","Damaliscus dorcas"
"618","DSCN3004","UM2","Alcelaphini","Damaliscus dorcas"
"619","DSCN3008","UM2","Alcelaphini","Damaliscus dorcas"
"620","DSCN3012","UM2","Alcelaphini","Damaliscus dorcas"
"621","DSCN3014","UM2","Alcelaphini","Damaliscus dorcas"
"622","DSCN4053","UM2","Alcelaphini","Damaliscus dorcas"
"623","DSCN4057","UM2","Alcelaphini","Damaliscus dorcas"
"624","DSCN4061","UM2","Alcelaphini","Damaliscus dorcas"
"625","DSCN4065","UM2","Alcelaphini","Damaliscus dorcas"
"626","DSCN4069","UM2","Alcelaphini","Damaliscus dorcas"
"627","DSCN4073","UM2","Alcelaphini","Damaliscus dorcas"
"628","DSCN4077","UM2","Alcelaphini","Damaliscus dorcas"
"629","DSCN4081","UM2","Alcelaphini","Damaliscus dorcas"
"630","DSCN4085","UM2","Alcelaphini","Damaliscus dorcas"
"631","DSCN4089","UM2","Alcelaphini","Damaliscus dorcas"
"632","DSCN2937","UM3","Alcelaphini","Damaliscus dorcas"
"633","DSCN2999","UM3","Alcelaphini","Damaliscus dorcas"
"634","DSCN3003","UM3","Alcelaphini","Damaliscus dorcas"
"635","DSCN3007","UM3","Alcelaphini","Damaliscus dorcas"
"636","DSCN3011","UM3","Alcelaphini","Damaliscus dorcas"
"637","DSCN3013","UM3","Alcelaphini","Damaliscus dorcas"
"638","DSCN4052","UM3","Alcelaphini","Damaliscus dorcas"
"639","DSCN4056","UM3","Alcelaphini","Damaliscus dorcas"
"640","DSCN4060","UM3","Alcelaphini","Damaliscus dorcas"
"641","DSCN4064","UM3","Alcelaphini","Damaliscus dorcas"
"642","DSCN4068","UM3","Alcelaphini","Damaliscus dorcas"
"643","DSCN4072","UM3","Alcelaphini","Damaliscus dorcas"
"644","DSCN4076","UM3","Alcelaphini","Damaliscus dorcas"
"645","DSCN4080","UM3","Alcelaphini","Damaliscus dorcas"
"646","DSCN4084","UM3","Alcelaphini","Damaliscus dorcas"
"647","DSCN4088","UM3","Alcelaphini","Damaliscus dorcas"
"648","DSCN3191","LM1","Antilopini","Antidorcas marsupialis"
"649","DSCN3197","LM1","Antilopini","Antidorcas marsupialis"
"650","DSCN3200","LM1","Antilopini","Antidorcas marsupialis"
"651","DSCN3204","LM1","Antilopini","Antidorcas marsupialis"
"652","DSCN3210","LM1","Antilopini","Antidorcas marsupialis"
"653","DSCN3214","LM1","Antilopini","Antidorcas marsupialis"
"654","DSCN3218","LM1","Antilopini","Antidorcas marsupialis"
"655","DSCN3222","LM1","Antilopini","Antidorcas marsupialis"
"656","DSCN3227","LM1","Antilopini","Antidorcas marsupialis"
"657","DSCN3231","LM1","Antilopini","Antidorcas marsupialis"
"658","DSCN4254","LM1","Antilopini","Antidorcas marsupialis"
"659","DSCN4258","LM1","Antilopini","Antidorcas marsupialis"
"660","DSCN4262","LM1","Antilopini","Antidorcas marsupialis"
"661","DSCN4266","LM1","Antilopini","Antidorcas marsupialis"
"662","DSCN4270","LM1","Antilopini","Antidorcas marsupialis"
"663","DSCN4274","LM1","Antilopini","Antidorcas marsupialis"
"664","DSCN4277","LM1","Antilopini","Antidorcas marsupialis"
"665","DSCN4281","LM1","Antilopini","Antidorcas marsupialis"
"666","DSCN4284","LM1","Antilopini","Antidorcas marsupialis"
"667","DSCN4292","LM1","Antilopini","Antidorcas marsupialis"
"668","DSCN4296","LM1","Antilopini","Antidorcas marsupialis"
"669","DSCN4301","LM1","Antilopini","Antidorcas marsupialis"
"670","DSCN4305","LM1","Antilopini","Antidorcas marsupialis"
"671","DSCN4309","LM1","Antilopini","Antidorcas marsupialis"
"672","DSCN4317","LM1","Antilopini","Antidorcas marsupialis"
"673","DSCN4321","LM1","Antilopini","Antidorcas marsupialis"
"674","DSCN4325","LM1","Antilopini","Antidorcas marsupialis"
"675","DSCN3190","LM2","Antilopini","Antidorcas marsupialis"
"676","DSCN3195","LM2","Antilopini","Antidorcas marsupialis"
"677","DSCN3199","LM2","Antilopini","Antidorcas marsupialis"
"678","DSCN3203","LM2","Antilopini","Antidorcas marsupialis"
"679","DSCN3207","LM2","Antilopini","Antidorcas marsupialis"
"680","DSCN3209","LM2","Antilopini","Antidorcas marsupialis"
"681","DSCN3213","LM2","Antilopini","Antidorcas marsupialis"
"682","DSCN3217","LM2","Antilopini","Antidorcas marsupialis"
"683","DSCN3221","LM2","Antilopini","Antidorcas marsupialis"
"684","DSCN3226","LM2","Antilopini","Antidorcas marsupialis"
"685","DSCN3230","LM2","Antilopini","Antidorcas marsupialis"
"686","DSCN4253","LM2","Antilopini","Antidorcas marsupialis"
"687","DSCN4257","LM2","Antilopini","Antidorcas marsupialis"
"688","DSCN4261","LM2","Antilopini","Antidorcas marsupialis"
"689","DSCN4265","LM2","Antilopini","Antidorcas marsupialis"
"690","DSCN4269","LM2","Antilopini","Antidorcas marsupialis"
"691","DSCN4273","LM2","Antilopini","Antidorcas marsupialis"
"692","DSCN4276","LM2","Antilopini","Antidorcas marsupialis"
"693","DSCN4280","LM2","Antilopini","Antidorcas marsupialis"
"694","DSCN4283","LM2","Antilopini","Antidorcas marsupialis"
"695","DSCN4287","LM2","Antilopini","Antidorcas marsupialis"
"696","DSCN4290","LM2","Antilopini","Antidorcas marsupialis"
"697","DSCN4295","LM2","Antilopini","Antidorcas marsupialis"
"698","DSCN4300","LM2","Antilopini","Antidorcas marsupialis"
"699","DSCN4304","LM2","Antilopini","Antidorcas marsupialis"
"700","DSCN4308","LM2","Antilopini","Antidorcas marsupialis"
"701","DSCN4313","LM2","Antilopini","Antidorcas marsupialis"
"702","DSCN4316","LM2","Antilopini","Antidorcas marsupialis"
"703","DSCN4320","LM2","Antilopini","Antidorcas marsupialis"
"704","DSCN4324","LM2","Antilopini","Antidorcas marsupialis"
"705","DSCN3193","LM3","Antilopini","Antidorcas marsupialis"
"706","DSCN3194","LM3","Antilopini","Antidorcas marsupialis"
"707","DSCN3198","LM3","Antilopini","Antidorcas marsupialis"
"708","DSCN3202","LM3","Antilopini","Antidorcas marsupialis"
"709","DSCN3206","LM3","Antilopini","Antidorcas marsupialis"
"710","DSCN3208","LM3","Antilopini","Antidorcas marsupialis"
"711","DSCN3212","LM3","Antilopini","Antidorcas marsupialis"
"712","DSCN3216","LM3","Antilopini","Antidorcas marsupialis"
"713","DSCN3220","LM3","Antilopini","Antidorcas marsupialis"
"714","DSCN3224","LM3","Antilopini","Antidorcas marsupialis"
"715","DSCN3229","LM3","Antilopini","Antidorcas marsupialis"
"716","DSCN4252","LM3","Antilopini","Antidorcas marsupialis"
"717","DSCN4256","LM3","Antilopini","Antidorcas marsupialis"
"718","DSCN4260","LM3","Antilopini","Antidorcas marsupialis"
"719","DSCN4264","LM3","Antilopini","Antidorcas marsupialis"
"720","DSCN4268","LM3","Antilopini","Antidorcas marsupialis"
"721","DSCN4272","LM3","Antilopini","Antidorcas marsupialis"
"722","DSCN4275","LM3","Antilopini","Antidorcas marsupialis"
"723","DSCN4279","LM3","Antilopini","Antidorcas marsupialis"
"724","DSCN4282","LM3","Antilopini","Antidorcas marsupialis"
"725","DSCN4286","LM3","Antilopini","Antidorcas marsupialis"
"726","DSCN4288","LM3","Antilopini","Antidorcas marsupialis"
"727","DSCN4294","LM3","Antilopini","Antidorcas marsupialis"
"728","DSCN4299","LM3","Antilopini","Antidorcas marsupialis"
"729","DSCN4303","LM3","Antilopini","Antidorcas marsupialis"
"730","DSCN4307","LM3","Antilopini","Antidorcas marsupialis"
"731","DSCN4311","LM3","Antilopini","Antidorcas marsupialis"
"732","DSCN4315","LM3","Antilopini","Antidorcas marsupialis"
"733","DSCN4319","LM3","Antilopini","Antidorcas marsupialis"
"734","DSCN4323","LM3","Antilopini","Antidorcas marsupialis"
"735","DSCN3132","UM1","Antilopini","Antidorcas marsupialis"
"736","DSCN3136","UM1","Antilopini","Antidorcas marsupialis"
"737","DSCN3140","UM1","Antilopini","Antidorcas marsupialis"
"738","DSCN3144","UM1","Antilopini","Antidorcas marsupialis"
"739","DSCN3148","UM1","Antilopini","Antidorcas marsupialis"
"740","DSCN3152","UM1","Antilopini","Antidorcas marsupialis"
"741","DSCN3156","UM1","Antilopini","Antidorcas marsupialis"
"742","DSCN3161","UM1","Antilopini","Antidorcas marsupialis"
"743","DSCN3166","UM1","Antilopini","Antidorcas marsupialis"
"744","DSCN3170","UM1","Antilopini","Antidorcas marsupialis"
"745","DSCN3174","UM1","Antilopini","Antidorcas marsupialis"
"746","DSCN3178","UM1","Antilopini","Antidorcas marsupialis"
"747","DSCN3182","UM1","Antilopini","Antidorcas marsupialis"
"748","DSCN3186","UM1","Antilopini","Antidorcas marsupialis"
"749","DSCN4189","UM1","Antilopini","Antidorcas marsupialis"
"750","DSCN4193","UM1","Antilopini","Antidorcas marsupialis"
"751","DSCN4199","UM1","Antilopini","Antidorcas marsupialis"
"752","DSCN4203","UM1","Antilopini","Antidorcas marsupialis"
"753","DSCN4207","UM1","Antilopini","Antidorcas marsupialis"
"754","DSCN4211","UM1","Antilopini","Antidorcas marsupialis"
"755","DSCN4215","UM1","Antilopini","Antidorcas marsupialis"
"756","DSCN4219","UM1","Antilopini","Antidorcas marsupialis"
"757","DSCN4223","UM1","Antilopini","Antidorcas marsupialis"
"758","DSCN4227","UM1","Antilopini","Antidorcas marsupialis"
"759","DSCN4230","UM1","Antilopini","Antidorcas marsupialis"
"760","DSCN4234","UM1","Antilopini","Antidorcas marsupialis"
"761","DSCN4238","UM1","Antilopini","Antidorcas marsupialis"
"762","DSCN4242","UM1","Antilopini","Antidorcas marsupialis"
"763","DSCN4246","UM1","Antilopini","Antidorcas marsupialis"
"764","DSCN4250","UM1","Antilopini","Antidorcas marsupialis"
"765","DSCN3131","UM2","Antilopini","Antidorcas marsupialis"
"766","DSCN3135","UM2","Antilopini","Antidorcas marsupialis"
"767","DSCN3139","UM2","Antilopini","Antidorcas marsupialis"
"768","DSCN3143","UM2","Antilopini","Antidorcas marsupialis"
"769","DSCN3147","UM2","Antilopini","Antidorcas marsupialis"
"770","DSCN3151","UM2","Antilopini","Antidorcas marsupialis"
"771","DSCN3155","UM2","Antilopini","Antidorcas marsupialis"
"772","DSCN3160","UM2","Antilopini","Antidorcas marsupialis"
"773","DSCN3165","UM2","Antilopini","Antidorcas marsupialis"
"774","DSCN3169","UM2","Antilopini","Antidorcas marsupialis"
"775","DSCN3173","UM2","Antilopini","Antidorcas marsupialis"
"776","DSCN3177","UM2","Antilopini","Antidorcas marsupialis"
"777","DSCN3181","UM2","Antilopini","Antidorcas marsupialis"
"778","DSCN3185","UM2","Antilopini","Antidorcas marsupialis"
"779","DSCN4188","UM2","Antilopini","Antidorcas marsupialis"
"780","DSCN4192","UM2","Antilopini","Antidorcas marsupialis"
"781","DSCN4196","UM2","Antilopini","Antidorcas marsupialis"
"782","DSCN4198","UM2","Antilopini","Antidorcas marsupialis"
"783","DSCN4202","UM2","Antilopini","Antidorcas marsupialis"
"784","DSCN4206","UM2","Antilopini","Antidorcas marsupialis"
"785","DSCN4210","UM2","Antilopini","Antidorcas marsupialis"
"786","DSCN4214","UM2","Antilopini","Antidorcas marsupialis"
"787","DSCN4218","UM2","Antilopini","Antidorcas marsupialis"
"788","DSCN4222","UM2","Antilopini","Antidorcas marsupialis"
"789","DSCN4226","UM2","Antilopini","Antidorcas marsupialis"
"790","DSCN4229","UM2","Antilopini","Antidorcas marsupialis"
"791","DSCN4233","UM2","Antilopini","Antidorcas marsupialis"
"792","DSCN4237","UM2","Antilopini","Antidorcas marsupialis"
"793","DSCN4241","UM2","Antilopini","Antidorcas marsupialis"
"794","DSCN4245","UM2","Antilopini","Antidorcas marsupialis"
"795","DSCN3130","UM3","Antilopini","Antidorcas marsupialis"
"796","DSCN3134","UM3","Antilopini","Antidorcas marsupialis"
"797","DSCN3138","UM3","Antilopini","Antidorcas marsupialis"
"798","DSCN3142","UM3","Antilopini","Antidorcas marsupialis"
"799","DSCN3146","UM3","Antilopini","Antidorcas marsupialis"
"800","DSCN3150","UM3","Antilopini","Antidorcas marsupialis"
"801","DSCN3154","UM3","Antilopini","Antidorcas marsupialis"
"802","DSCN3159","UM3","Antilopini","Antidorcas marsupialis"
"803","DSCN3164","UM3","Antilopini","Antidorcas marsupialis"
"804","DSCN3168","UM3","Antilopini","Antidorcas marsupialis"
"805","DSCN3172","UM3","Antilopini","Antidorcas marsupialis"
"806","DSCN3176","UM3","Antilopini","Antidorcas marsupialis"
"807","DSCN3180","UM3","Antilopini","Antidorcas marsupialis"
"808","DSCN3184","UM3","Antilopini","Antidorcas marsupialis"
"809","DSCN4187","UM3","Antilopini","Antidorcas marsupialis"
"810","DSCN4191","UM3","Antilopini","Antidorcas marsupialis"
"811","DSCN4195","UM3","Antilopini","Antidorcas marsupialis"
"812","DSCN4197","UM3","Antilopini","Antidorcas marsupialis"
"813","DSCN4201","UM3","Antilopini","Antidorcas marsupialis"
"814","DSCN4205","UM3","Antilopini","Antidorcas marsupialis"
"815","DSCN4209","UM3","Antilopini","Antidorcas marsupialis"
"816","DSCN4213","UM3","Antilopini","Antidorcas marsupialis"
"817","DSCN4217","UM3","Antilopini","Antidorcas marsupialis"
"818","DSCN4221","UM3","Antilopini","Antidorcas marsupialis"
"819","DSCN4225","UM3","Antilopini","Antidorcas marsupialis"
"820","DSCN4232","UM3","Antilopini","Antidorcas marsupialis"
"821","DSCN4236","UM3","Antilopini","Antidorcas marsupialis"
"822","DSCN4240","UM3","Antilopini","Antidorcas marsupialis"
